"id","subc_id","c10","c20","c30","c40","c50","c60","c70","c80","c90","c100","c110","c120","c130","c140","c150","c160","c170","c180","c190","c200","c210","c220"
4058503931,507804526,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4058610695,508082108,0.061,0,0,0.133,0,0.122,0,0,0.112,0.337,0,0,0.173,0,0,0,0,0,0.061,0,0,0
4058496706,507777524,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4058505990,506799932,0.963,0,0,0,0,0,0,0,0,0,0,0,0.037,0,0,0,0,0,0,0,0,0
4058613271,506463635,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4058628671,507763324,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4058552963,506298975,0.127,0,0,0.302,0,0,0,0,0,0,0,0,0.381,0,0,0,0,0,0.19,0,0,0
4058609807,508748682,0.3,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0
4058601973,506612201,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4058565704,506874965,0,0,0,0,0,0,0.902,0,0.098,0,0,0,0,0,0,0,0,0,0,0,0,0
4058477904,506769097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.786,0,0.214,0
4058634032,508490965,0.857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143,0,0,0
4058519641,507207375,0.8,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4058594382,507640030,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4058501821,507094152,0.98,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0
4058465357,507001498,0,0,0,0,0,0,0.014,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0.855,0
4058550781,507968887,0,0,0.091,0,0,0,0,0,0,0,0,0,0.909,0,0,0,0,0,0,0,0,0
4058576197,507630614,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4058583314,508423123,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4058546109,507091770,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4058503442,507509850,0.655,0,0.345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4058485388,508604480,0.562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.438,0,0,0
4058557790,508039386,0.727,0,0,0,0,0,0.091,0,0,0.182,0,0,0,0,0,0,0,0,0,0,0,0
4058568515,507176838,0.167,0,0,0,0,0,0,0,0,0,0,0,0.833,0,0,0,0,0,0,0,0,0
4058464700,507880612,0.951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049,0,0,0
4058486431,508677878,0.04,0,0.36,0.06,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0.24,0
4058582701,508665800,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4058564858,508293490,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4058539759,506627827,0,0,0.656,0,0,0,0,0,0,0.188,0,0,0.156,0,0,0,0,0,0,0,0,0
4058504641,508438640,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4058631786,506301107,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4058555110,508150849,0.926,0,0,0,0,0,0,0,0,0.074,0,0,0,0,0,0,0,0,0,0,0,0
4058556692,506406239,0,0,0.071,0,0,0,0,0,0,0,0,0,0.929,0,0,0,0,0,0,0,0,0
4058538795,506440890,0.292,0,0,0,0,0,0,0,0,0,0,0,0.708,0,0,0,0,0,0,0,0,0
4058522584,508466403,0.333,0,0,0,0,0,0,0,0,0,0,0,0.667,0,0,0,0,0,0,0,0,0
4058488865,509739120,0.041,0,0.216,0,0,0,0,0,0,0,0,0,0.742,0,0,0,0,0,0,0,0,0
4058570924,508638245,0,0,0,0.175,0,0,0.175,0,0.325,0,0,0,0,0,0,0,0,0,0.325,0,0,0
4058604956,508333991,0,0,0.187,0,0,0.2,0,0,0,0.587,0,0,0.027,0,0,0,0,0,0,0,0,0
4058574257,508876703,0,0,0,0,0,0.941,0,0,0,0.059,0,0,0,0,0,0,0,0,0,0,0,0
4058590088,507357940,0.652,0,0.348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4058467830,507689647,0.14,0,0,0,0,0,0,0,0,0,0,0,0.058,0,0,0,0,0,0.802,0,0,0
4058560090,506465118,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4058577696,506997521,0.069,0,0.292,0,0,0,0,0,0,0,0,0,0.638,0,0,0,0,0,0,0,0,0
4058623136,506561224,0.104,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.396,0,0,0
4058578509,507917647,0.696,0,0,0,0,0,0,0,0,0,0,0,0.116,0,0,0,0,0,0.188,0,0,0
4058545409,507173161,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4058553432,507829419,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4058617083,508174552,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4058520436,506510279,0,0,0.284,0,0,0,0,0,0,0.074,0,0,0.642,0,0,0,0,0,0,0,0,0
4058579778,508556173,0,0,0,0,0,0,0,0,0,0.462,0,0,0,0,0,0,0,0,0.538,0,0,0
4058461558,507225030,0,0,0,0,0,0,0.214,0,0.036,0,0,0,0,0,0,0,0,0,0.75,0,0,0
4058505941,508617193,0.286,0,0.286,0,0,0,0,0,0,0,0,0,0.429,0,0,0,0,0,0,0,0,0
4058564688,507417958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4058531385,506867212,0,0,0.118,0,0,0,0,0,0,0,0,0,0.294,0,0,0,0,0,0,0,0.588,0
4058609029,507762112,0.5,0,0.179,0,0,0,0,0,0.321,0,0,0,0,0,0,0,0,0,0,0,0,0
4058550362,507806698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4058476680,507799687,0.75,0,0.083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167,0
4058613578,507660353,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4058495259,508366579,0,0,0,0,0,0.311,0,0,0.2,0.489,0,0,0,0,0,0,0,0,0,0,0,0
4058567038,508944014,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.875,0,0,0
4058558992,506571515,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4058565032,508504396,0,0,0,0,0,0,0,0,0,0,0,0,0.276,0,0,0,0,0,0.724,0,0,0
4058453117,506404415,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4058576975,508180265,0.351,0,0.045,0,0,0,0,0,0.052,0,0,0,0,0,0,0,0,0,0.343,0,0.209,0
4058584343,508669801,0.31,0,0,0,0,0,0,0,0,0,0,0,0.408,0,0,0,0,0,0.282,0,0,0
4058526033,506810809,0,0,0.182,0.091,0,0,0,0,0,0,0,0,0.727,0,0,0,0,0,0,0,0,0
4058574059,508263368,0.385,0,0,0.615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4058494171,508815138,0.977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023,0
4058490398,508239837,0,0,0.282,0,0,0,0,0,0,0,0,0,0.718,0,0,0,0,0,0,0,0,0
4058515082,506711780,0.308,0,0.692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4058463558,508189250,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0.7,0,0,0
4058626284,507623822,0.985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0,0,0
4058584871,509302192,0,0,0,0.917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083,0,0,0
4058592641,507540377,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4058634984,508280090,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,0,0,0
4058452973,506438847,0,0,0,0,0,0.222,0,0,0,0.778,0,0,0,0,0,0,0,0,0,0,0,0
4058474084,508545942,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4058532561,508658416,0,0,0,0,0,0,0,0,0,0.148,0,0,0.852,0,0,0,0,0,0,0,0,0
4058494382,508981430,0.657,0,0,0,0,0,0,0,0,0,0,0,0.057,0,0,0,0,0,0.286,0,0,0
4058549629,506539304,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
